role,tier,n_entry,n_senior,pct_entry,pct_senior,gap_pp,ci_entry_low,ci_entry_high,ci_senior_low,ci_senior_high
Full Stack Engineer,light,43,263,34.883720930232556,72.24334600760456,37.359625077372,22.418589997352708,49.82821800714795,66.54075606282316,77.30550400376526
Product Designer,light,48,606,35.416666666666664,64.85148514851485,29.43481848184819,23.433644125604857,49.56094298965691,60.96753099736472,68.54833700348952
Product Manager,light,97,1407,32.98969072164948,56.85856432125089,23.868873599601407,24.438091722640703,42.837272610716276,54.255455023595765,59.42432442953476
AI Engineer,heavy,40,228,35.0,58.333333333333336,23.333333333333336,22.134528873176293,50.4941191627423,51.84767687258428,64.542834209124
Research Scientist,heavy,32,274,21.875,41.605839416058394,19.730839416058394,11.023836252604186,38.75499364924353,35.92496217053133,47.51883336838921
Data Analyst,medium,104,228,42.30769230769231,55.26315789473684,12.955465587044536,33.25321436006159,51.91019109182229,48.77501668159137,61.576885054224405
Data Engineer,medium,66,613,51.515151515151516,64.11092985318108,12.595778338029561,39.71059128571724,63.15303732939325,60.236661302078645,67.80944317519649
Machine Learning Engineer,heavy,35,428,57.142857142857146,68.69158878504673,11.548731642189587,40.85741114397492,72.01543182281931,64.1482643084716,72.9023700694643
Software Engineer,medium,1355,6235,47.38007380073801,58.684843624699276,11.304769823961266,44.73264024934267,50.04232046891366,57.45764591693094,59.9013462476931
Backend Engineer,light,39,384,61.53846153846154,72.39583333333333,10.857371794871788,45.89906145692508,75.10862653443866,67.71945505015017,76.6285629577747
Data Scientist,heavy,86,628,43.02325581395349,47.611464968152866,4.588209154199376,33.07934101645158,53.56379662009366,43.73176254944077,51.52021093517454
Research Engineer,heavy,35,184,51.42857142857143,55.97826086956522,4.549689440993788,35.56880459586858,67.00576399749028,48.75597425336642,62.95603018810267
