role,tier,gap_pp,chi2,p,p_bonf
Software Engineer,medium,11.304769823961266,57.4710906583207,3.4298360809133534e-14,4.1158032970960243e-13
Full Stack Engineer,light,37.359625077372,21.66893297410074,3.23996250310881e-06,3.887955003730572e-05
Product Manager,light,23.868873599601407,19.96176491830768,7.900631497387913e-06,9.480757796865495e-05
Product Designer,light,29.43481848184819,15.241138538396521,9.461966102386272e-05,0.0011354359322863527
AI Engineer,heavy,23.333333333333336,6.568822982288462,0.010378056286448398,0.12453667543738078
Data Analyst,medium,12.955465587044536,4.293358770508754,0.03826150830345531,0.4591380996414637
Research Scientist,heavy,19.73083941605839,3.877280074231801,0.0489437876940805,0.5873254523289659
Data Engineer,medium,12.59577833802956,3.5286773563598457,0.060315885400592135,0.7237906248071057
Backend Engineer,light,10.857371794871788,1.5465292070070578,0.21364855620574855,1.0
Machine Learning Engineer,heavy,11.548731642189589,1.4834289686438091,0.22323879805677935,1.0
Data Scientist,heavy,4.588209154199376,0.4682635751493611,0.4937870915972101,1.0
Research Engineer,heavy,4.549689440993788,0.09656482074632632,0.755991590557054,1.0
