canonical_skill,n_jobs_with_skill,n_prereqs,depth,prereqs
mxnet,33,12,6,python|machine learning|tensorflow|deep learning|r|scikit-learn|c++|java|spark|numpy|hadoop|scipy
scipy,96,5,5,python|machine learning|scikit-learn|pandas|numpy
looker,117,4,4,python|sql|data visualization|tableau
numpy,419,3,4,python|scikit-learn|pandas
xgboost,176,3,4,python|sql|scikit-learn
parallel and distributed computing,50,7,3,python|machine learning|c++|java|data mining|high-performance computing|numerical optimization
parsing,49,7,3,python|machine learning|c++|java|data mining|high-performance computing|numerical optimization
algorithms and data structures,47,7,3,python|machine learning|c++|java|data mining|high-performance computing|numerical optimization
unix/linux,43,7,3,python|machine learning|c++|java|data mining|high-performance computing|numerical optimization
azure,379,3,3,python|aws|gcp
scikit-learn,691,3,3,python|pytorch|tensorflow
tableau,282,3,3,python|sql|data visualization
llamaindex,98,3,3,python|rag|langchain
fsdp,45,2,3,pytorch|distributed training
langgraph,214,2,3,python|langchain
deepspeed,54,2,3,pytorch|distributed training
triton,79,2,3,pytorch|cuda
numerical optimization,62,6,2,python|machine learning|c++|java|data mining|high-performance computing
hadoop,150,4,2,python|machine learning|sql|spark
pyspark,140,3,2,python|machine learning|sql
regression,179,3,2,python|machine learning|sql
alerting,60,3,2,python|machine learning|monitoring
statistical analysis,345,3,2,python|machine learning|sql
transformer,378,3,2,python|machine learning|pytorch
tensorflow,1284,3,2,python|machine learning|pytorch
statistical modeling,412,3,2,python|machine learning|sql
forecasting,222,3,2,python|machine learning|sql
model optimization,169,3,2,python|machine learning|pytorch
containerization,135,3,2,python|kubernetes|docker
slurm,31,3,2,python|pytorch|kubernetes
probability,104,3,2,python|machine learning|statistics
grafana,42,3,2,python|aws|kubernetes
predictive modeling,363,3,2,python|machine learning|sql
generative modeling,60,3,2,python|machine learning|pytorch
rust,98,2,2,python|c++
jax,421,2,2,python|pytorch
dbt,175,2,2,python|sql
pre-training,54,2,2,pytorch|post-training
hypothesis testing,156,2,2,python|sql
pandas,579,2,2,python|sql
econometrics,46,2,2,python|sql
data quality,163,2,2,python|sql
a/b testing,692,2,2,python|sql
databricks,227,2,2,python|sql
agent architectures,38,2,2,evaluation frameworks|context engineering
data visualization,552,2,2,python|sql
distillation,85,2,2,python|pytorch
quantization,131,2,2,python|pytorch
r,697,2,2,python|sql
open-source contributions,44,2,2,python|pytorch
data modeling,352,2,2,python|sql
dashboards,201,2,2,python|sql
diffusion models,161,2,2,python|pytorch
cuda,160,2,2,python|pytorch
gcp,508,2,2,python|aws
vector databases,295,2,2,python|rag
terraform,155,2,2,python|kubernetes
causal inference,520,2,2,python|sql
etl,211,2,2,python|sql
snowflake,191,2,2,python|sql
airflow,306,2,2,python|sql
git,271,2,2,python|sql
transformer architectures,66,2,2,python|pytorch
experimental design,206,2,2,python|sql
langchain,402,2,2,python|rag
large-scale training,49,1,2,pytorch
profiling,71,1,2,pytorch
distributed training,306,1,2,pytorch
semantic search,90,1,2,rag
deep learning,1189,2,1,python|machine learning
model serving,164,2,1,python|machine learning
model validation,183,2,1,python|machine learning
training,153,2,1,python|machine learning
model monitoring,322,2,1,python|machine learning
generative ai,577,2,1,python|machine learning
model development,130,2,1,python|machine learning
fine-tuning,773,2,1,python|machine learning
information retrieval,105,2,1,python|machine learning
model deployment,557,2,1,python|machine learning
optimization,296,2,1,python|machine learning
data mining,235,2,1,python|machine learning
mlops,611,2,1,python|machine learning
deployment,225,2,1,python|machine learning
ml pipelines,69,2,1,python|machine learning
recommendation systems,196,2,1,python|machine learning
inference,141,2,1,python|machine learning
high-performance computing,112,2,1,python|machine learning
classification,228,2,1,python|machine learning
data processing,207,2,1,python|machine learning
model training,546,2,1,python|machine learning
algorithms,149,2,1,python|machine learning
linear algebra,91,2,1,python|machine learning
testing,301,2,1,python|machine learning
simulation,133,2,1,python|machine learning
robotics,98,2,1,python|machine learning
nlp,884,2,1,python|machine learning
data cleaning,196,2,1,python|machine learning
feature engineering,486,2,1,python|machine learning
genai,153,2,1,python|machine learning
computer vision,603,2,1,python|machine learning
data pipelines,903,2,1,python|machine learning
data ingestion,102,2,1,python|machine learning
anomaly detection,206,2,1,python|machine learning
java,462,2,1,python|machine learning
data analysis,653,2,1,python|machine learning
spark,420,2,1,python|machine learning
c++,553,2,1,python|machine learning
statistics,441,2,1,python|machine learning
evaluation,1024,2,1,python|machine learning
pytorch,2009,1,1,python
prompt engineering,595,1,1,python
reproducibility,79,1,1,python
synthetic data generation,108,1,1,python
react,181,1,1,python
experimentation,507,1,1,python
distributed systems,368,1,1,python
mlflow,251,1,1,python
javascript,125,1,1,python
observability,363,1,1,python
distributed computing,79,1,1,python
guardrails,106,1,1,python
code reviews,148,1,1,python
foundation models,178,1,1,machine learning
logging,79,1,1,python
experiment design,228,1,1,python
fastapi,156,1,1,python
agentic workflows,186,1,1,python
context engineering,70,1,1,python
orchestration,139,1,1,python
debugging,183,1,1,python
reasoning,51,1,1,machine learning
apis,337,1,1,python
ocr,58,1,1,machine learning
representation learning,51,1,1,machine learning
dpo,62,1,1,rlhf
imitation learning,62,1,1,reinforcement learning
typescript,288,1,1,python
embeddings,278,1,1,python
evaluation frameworks,322,1,1,python
ml infrastructure,48,1,1,machine learning
ai,427,1,1,machine learning
aws,848,1,1,python
prompting,102,1,1,python
sql,1934,1,1,python
metrics,103,1,1,python
reward modeling,62,1,1,reinforcement learning
vllm,84,1,1,python
multimodal models,92,1,1,python
vision-language models,89,1,1,machine learning
llm apis,66,1,1,python
model versioning,98,1,1,python
go,220,1,1,python
rag,783,1,1,python
data curation,135,1,1,machine learning
openai,97,1,1,python
docker,467,1,1,python
microservices,70,1,1,python
scalability,93,1,1,machine learning
data labeling,85,1,1,machine learning
data science,507,1,1,machine learning
monitoring,427,1,1,python
ci/cd,502,1,1,python
kubernetes,576,1,1,python
llms,1702,1,1,python
ai agents,166,1,1,python
benchmarking,176,0,0,
alignment,58,0,0,
reinforcement learning,639,0,0,
retrieval,111,0,0,
machine learning,4008,0,0,
latency optimization,110,0,0,
multi-agent systems,121,0,0,
rlhf,123,0,0,
sft,45,0,0,
python,4717,0,0,
performance optimization,104,0,0,
ai engineering,43,0,0,
post-training,115,0,0,
code review,53,0,0,
software engineering,226,0,0,
tool use,108,0,0,
