canonical_skill,scholarly_count,blog_count,ratio
python,323,24568,0.013
machine learning,1445,26676,0.0514
pytorch,67,2726,0.024
sql,91,11116,0.0081
llms,4481,18201,0.1976
tensorflow,12,2645,0.0045
deep learning,1206,6402,0.1585
evaluation,4886,17648,0.2168
data pipelines,16,4522,0.0035
aws,27,21295,0.0013
fine-tuning,2009,6395,0.2391
a/b testing,14,2489,0.0056
scikit-learn,12,1056,0.0112
model deployment,15,1171,0.0126
reinforcement learning,1908,3725,0.3387
ci/cd,20,13486,0.0015
mlops,4,2339,0.0017
generative ai,301,15294,0.0193
kubernetes,40,16717,0.0024
data visualization,15,1581,0.0094
rag,554,7005,0.0733
nlp,307,5154,0.0562
r,637,16721,0.0367
data analysis,108,5400,0.0196
model training,248,4606,0.0511
computer vision,323,3524,0.084
c++,436,23678,0.0181
experimentation,96,8031,0.0118
gcp,6,3895,0.0015
jax,28,485,0.0546
docker,21,11282,0.0019
prompt engineering,131,3952,0.0321
azure,22,13379,0.0016
pandas,1,2058,0.0005
monitoring,758,36923,0.0201
observability,159,15967,0.0099
feature engineering,36,1132,0.0308
spark,15,5167,0.0029
data science,39,8606,0.0045
distributed systems,39,3569,0.0108
java,81,7294,0.011
causal inference,71,350,0.1686
distributed training,28,460,0.0574
statistics,405,7385,0.052
statistical modeling,10,185,0.0513
airflow,4,1449,0.0028
testing,814,45419,0.0176
predictive modeling,38,569,0.0626
evaluation frameworks,62,477,0.115
tableau,1,1047,0.001
statistical analysis,48,591,0.0751
transformer,1682,4999,0.2518
numpy,9,2421,0.0037
data modeling,6,929,0.0064
langchain,11,2238,0.0049
typescript,14,8307,0.0017
model monitoring,4,425,0.0093
mlflow,0,648,0.0
vector databases,13,1416,0.0091
deployment,2165,39455,0.052
forecasting,442,5285,0.0772
dashboards,13,15366,0.0008
optimization,3387,24392,0.1219
git,28,11743,0.0024
databricks,1,2313,0.0004
experimental design,36,229,0.1358
apis,142,28246,0.005
dbt,1,1345,0.0007
model serving,10,914,0.0108
snowflake,4,2694,0.0015
post-training,433,929,0.3179
looker,0,745,0.0
software engineering,278,6463,0.0412
data quality,107,5783,0.0182
hypothesis testing,38,248,0.1329
training,7533,42378,0.1509
embeddings,1030,5314,0.1624
classification,1959,9178,0.1759
regression,815,6248,0.1154
data cleaning,15,719,0.0204
etl,3,2734,0.0011
recommendation systems,68,860,0.0733
react,88,12259,0.0071
diffusion models,674,580,0.5375
agentic workflows,42,2174,0.019
benchmarking,410,4254,0.0879
rlhf,114,856,0.1175
ai agents,283,16861,0.0165
langgraph,18,833,0.0212
experiment design,7,230,0.0295
guardrails,67,9916,0.0067
ai,3331,114080,0.0284
debugging,109,12610,0.0086
code reviews,6,2798,0.0021
go,127,70926,0.0018
multi-agent systems,188,1247,0.131
containerization,2,1407,0.0014
foundation models,752,2029,0.2704
data curation,81,279,0.225
cuda,56,1669,0.0325
vector database,16,1716,0.0092
high-performance computing,41,1162,0.0341
robotics,358,4619,0.0719
data processing,75,5321,0.0139
openai,110,18475,0.0059
orchestration,216,14756,0.0144
code review,35,4940,0.007
fastapi,8,1296,0.0061
data mining,28,586,0.0456
parallel and distributed computing,0,31,0.0
numerical optimization,4,22,0.1538
performance optimization,14,2122,0.0066
parsing,149,5504,0.0264
algorithms and data structures,0,85,0.0
algorithms,1329,16348,0.0752
profiling,120,2709,0.0424
unix/linux,0,131,0.0
simulation,1441,5843,0.1978
linear algebra,16,530,0.0293
deepspeed,7,139,0.0479
triton,29,388,0.0695
generative modeling,129,145,0.4708
alignment,2599,14059,0.156
fsdp,5,62,0.0746
logging,50,14234,0.0035
mxnet,0,72,0.0
agent architectures,31,484,0.0602
transformer architectures,86,278,0.2363
hadoop,0,959,0.0
neural deep learning,0,2,0.0
rust,51,4762,0.0106
scipy,4,438,0.009
prompting,692,6236,0.0999
slurm,3,173,0.017
reasoning,4566,16362,0.2182
large-scale training,57,201,0.2209
llm apis,9,368,0.0239
tool use,185,2375,0.0723
imitation learning,121,127,0.4879
context engineering,18,839,0.021
synthetic data generation,78,394,0.1653
probability,840,5189,0.1393
multimodal models,173,626,0.2165
process intelligence,0,60,0.0
javascript,26,14823,0.0018
llamaindex,3,615,0.0049
world models,161,533,0.232
genai,111,4477,0.0242
model development,68,1488,0.0437
model validation,15,491,0.0296
vision-language models,996,369,0.7297
xgboost,84,483,0.1481
terraform,2,4515,0.0004
model optimization,26,385,0.0633
zenml,0,17,0.0
metaflow,1,30,0.0323
quantization,380,2140,0.1508
semantic search,23,1840,0.0123
ec2,1,2460,0.0004
latency optimization,2,135,0.0146
pre-training,394,1129,0.2587
reproducibility,309,3363,0.0842
training/inference pipelines,0,1,0.0
model registries,0,252,0.0
scalability,800,13689,0.0552
anomaly detection,259,4702,0.0522
multi-modality,19,77,0.1979
nccl,5,122,0.0394
econometrics,2,129,0.0153
pyspark,0,321,0.0
sft,321,381,0.4573
cloudformation,0,1426,0.0
reward modeling,48,67,0.4174
dpo,141,309,0.3133
ocr,101,1731,0.0551
agentic use cases,2,100,0.0196
weights biases,1,210,0.0047
langsmith,1,445,0.0022
microservices,17,6982,0.0024
observability dashboards,0,277,0.0
continuous loops,0,11,0.0
retrieval,1883,10451,0.1527
data labeling,5,377,0.0131
distillation,680,1253,0.3518
observational causal inference,1,6,0.1429
synthetic data pipelines,4,23,0.1481
learning rate schedulers,1,10,0.0909
eks,0,1353,0.0
cognito,0,355,0.0
representation learning,400,357,0.5284
metrics,1897,33779,0.0532
document intelligence,8,219,0.0352
layout detection,2,25,0.0741
structured extraction,8,149,0.051
chunking,69,1424,0.0462
transformer-based ocsr,0,1,0.0
layout models,1,8,0.1111
distributed computing,17,694,0.0239
model versioning,1,477,0.0021
batch inference,7,257,0.0265
inference,3859,15407,0.2003
applied machine learning,5,129,0.0373
alerting,5,5719,0.0009
data ingestion,2,1655,0.0012
token usage tracking,0,18,0.0
latency monitoring,0,83,0.0
reasoning paths,65,134,0.3266
llm inference,135,980,0.1211
ai engineering,3,1362,0.0022
infrastructure-as-code,6,3569,0.0017
ml pipelines,7,576,0.012
gpu orchestration,0,50,0.0
open-source contributions,2,409,0.0049
time-series data,76,600,0.1124
information retrieval,111,950,0.1046
networking,37,10131,0.0036
rollouts,225,3875,0.0549
vllm,55,1088,0.0481
pulumi,0,573,0.0
grafana,0,2737,0.0
model drift detection,1,55,0.0179
ml infrastructure,1,199,0.005
