role,level,N,median,p25,p75,ci_lo,ci_hi,mean
DS,entry,18,165750,139494,222500,141162,215000,188492
DS,mid,58,166176,144250,191500,151700,180000,168169
DS,senior,127,183500,171250,204750,182750,185000,184644
DS,staff,25,207500,190000,226000,196050,226000,212651
MLE,entry,12,173750,120000,201000,115000,209000,162253
MLE,mid,57,193000,174000,231500,185000,210000,203395
MLE,senior,114,211169,184775,239334,204450,225950,217676
MLE,staff,48,270000,234125,290125,245500,273000,259677
AIE,entry,5,175000,120000,185000,113500,250000,168700
AIE,mid,16,190000,165000,215500,165000,215000,184899
AIE,senior,30,200000,187500,225000,195000,225000,203213
AIE,staff,5,270000,260000,284000,244000,345000,280600
