skill,n,median,p25,p75,premium_vs_baseline,premium_pct
experimentation,28,205000,188000,222112,21850,11.9
causal inference,47,202500,182875,226700,19350,10.6
dashboards,22,198250,170625,211875,15100,8.2
A/B testing,50,194275,178425,209188,11125,6.1
Snowflake,29,192500,175000,212500,9350,5.1
data quality,26,185868,146494,209375,2718,1.5
DBT,30,185000,165625,209375,1850,1.0
data science,31,185000,171250,221000,1850,1.0
PyTorch,21,185000,176900,203500,1850,1.0
scikit-learn,21,185000,161000,200000,1850,1.0
SQL,175,184750,165000,207500,1600,0.9
Looker,20,184000,165875,204425,850,0.5
Python,197,183500,162000,205000,350,0.2
machine learning,123,183150,162000,203585,0,0.0
R,75,183150,159250,200000,0,0.0
data pipelines,53,183150,165000,203150,0,0.0
Tableau,31,183000,151175,190750,-150,-0.1
Statistical analysis,40,182750,147875,208125,-400,-0.2
LLMs,25,182500,170000,205000,-650,-0.4
statistics,30,182375,150000,216500,-775,-0.4
deep learning,21,181700,170000,193000,-1450,-0.8
Data analysis,50,181575,152900,195412,-1575,-0.9
AWS,22,180800,163375,208418,-2350,-1.3
data visualization,61,180000,155000,192500,-3150,-1.7
Statistical modeling,50,179375,156388,187640,-3775,-2.1
predictive modeling,42,175980,161000,200000,-7170,-3.9
data modeling,40,175950,154062,192750,-7200,-3.9
