month,total,MCP,LangChain/LangGraph,Vector DB / RAG,Code execution,Computer use,Agent SDK / Managed Agents,Claude Code
2025-01,347,2,1,9,1,2,1,0
2025-02,367,2,2,5,2,3,0,2
2025-03,450,3,3,11,4,2,1,4
2025-04,470,20,6,6,6,2,3,10
2025-05,522,13,7,16,13,2,1,3
2025-06,546,22,8,10,14,1,2,8
2025-07,611,31,6,17,13,3,1,17
2025-08,623,19,8,11,12,1,1,15
2025-09,753,39,23,23,16,2,3,31
2025-10,1081,39,13,15,19,7,8,33
2025-11,1144,29,10,18,20,5,3,41
2025-12,1490,55,21,27,21,10,3,49
2026-01,2935,68,35,61,35,2,5,147
2026-02,2573,96,24,58,33,27,7,214
2026-03,19276,340,279,463,427,211,19,706
2026-04,34102,835,226,404,640,256,277,1770
2026-05,42044,990,231,457,1304,186,312,2031
